GeneName,GN_Syn
MIR7975,MIR7975
TNNT1,TNNT1
TNNI3,TNNI3
AC010327.1,AC010327.1
DNAAF3,DNAAF3
AC010327.3,AC010327.3
RF01210,RF01210
SYT5,SYT5
PTPRH,PTPRH
AC010327.4,AC010327.4
TMEM86B,TMEM86B
AC010327.5,AC010327.5
PPP6R1,PPP6R1
MIR6804,MIR6804
MIR6802,MIR6802
MIR6803,MIR6803
HSPBP1,HSPBP1
BRSK1,BRSK1
AC020922.2,AC020922.2
TMEM150B,TMEM150B
AC020922.4,AC020922.4
KMT5C,KMT5C
COX6B2,COX6B2
AC020922.1,AC020922.1
FAM71E2,FAM71E2
IL11,IL11
TMEM190,TMEM190
AC020922.3,AC020922.3
TMEM238,TMEM238
RPL28,RPL28
MIR6805,MIR6805
UBE2S,UBE2S
SHISA7,SHISA7
ISOC2,ISOC2
C19orf85,C19orf85
AC008735.5,AC008735.5
AC008735.3,AC008735.3
ZNF628,ZNF628
NAT14,NAT14
SSC5D,SSC5D
SBK2,SBK2
SBK3,SBK3
ZNF579,ZNF579
FIZ1,FIZ1
ZNF524,ZNF524
ZNF865,ZNF865
AC008735.4,AC008735.4
ZNF784,ZNF784
ZNF580,ZNF580
ZNF581,ZNF581
CCDC106,CCDC106
U2AF2,U2AF2
AC008735.2,AC008735.2
AC008735.1,AC008735.1
EPN1,EPN1
AC010525.1,AC010525.1
AC010525.2,AC010525.2
AC008749.1,AC008749.1
NLRP9,NLRP9
RN7SKP109,RN7SKP109
RFPL4A,RFPL4A
RFPL4AL1,RFPL4AL1
RFPL4AP1,RFPL4AP1
NLRP11,NLRP11
NLRP4,NLRP4
NLRP13,NLRP13
NLRP8,NLRP8
NLRP5,NLRP5
LINC01864,LINC01864
ZNF787,ZNF787
RF00019,RF00019
AC024580.2,AC024580.2
ZNF444,ZNF444
AC024580.1,AC024580.1
GALP,GALP
ZSCAN5B,ZSCAN5B
ZSCAN5C,ZSCAN5C
AC011506.1,AC011506.1
ZSCAN5A,ZSCAN5A
ZSCAN5DP,ZSCAN5DP
EDDM13,EDDM13
AC006116.5,AC006116.5
AC006116.8,AC006116.8
RF00019,RF00019
VN2R17P,VN2R17P
AC006116.1,AC006116.1
AC006116.3,AC006116.3
AC006116.2,AC006116.2
AC006116.6,AC006116.6
AC006116.9,AC006116.9
ZNF542P,ZNF542P
ZNF582,ZNF582
AC006116.10,AC006116.10
AC006116.7,AC006116.7
SLC25A36P1,SLC25A36P1
AC006116.4,AC006116.4
ZNF582-AS1,ZNF582-AS1
ZNF583,ZNF583
ZNF667,ZNF667
ZNF667-AS1,ZNF667-AS1
AC004696.2,AC004696.2
AC004696.1,AC004696.1
ZNF471,ZNF471
AC005498.1,AC005498.1
AC005498.2,AC005498.2
ZFP28,ZFP28
AC005498.3,AC005498.3
ZNF470,ZNF470
SIGLEC31P,SIGLEC31P
ZNF71,ZNF71
SMIM17,SMIM17
ZNF835,ZNF835
AC006115.1,AC006115.1
AC007228.1,AC007228.1
OR5AH1P,OR5AH1P
AC006115.3,AC006115.3
ZIM2-AS1,ZIM2-AS1
ZIM2,ZIM2
AC006115.2,AC006115.2
PEG3,PEG3
MIMT1,MIMT1
AC004792.1,AC004792.1
AC044792.1,AC044792.1
RPL7AP69,RPL7AP69
AC025588.4,AC025588.4
USP29,USP29
ZIM3,ZIM3
AC025588.2,AC025588.2
AC025588.3,AC025588.3
DUXA,DUXA
AC025588.1,AC025588.1
ZNF264,ZNF264
AURKC,AURKC
ZNF805,ZNF805
AC005261.3,AC005261.3
ZNF460-AS1,ZNF460-AS1
ZNF460,ZNF460
AC005261.5,AC005261.5
AC005261.1,AC005261.1
AC005261.4,AC005261.4
ZNF543,ZNF543
AC005261.2,AC005261.2
ZNF304,ZNF304
ZNF547,ZNF547
TRAPPC2B,TRAPPC2B
AC003002.1,AC003002.1
ZNF548,ZNF548
AC003002.3,AC003002.3
AC003002.2,AC003002.2
ZNF17,ZNF17
ZNF749,ZNF749
AC004076.1,AC004076.1
AC004076.2,AC004076.2
VN1R1,VN1R1
VN1R107P,VN1R107P
ZNF772,ZNF772
AC003005.2,AC003005.2
ZNF419,ZNF419
AC003005.1,AC003005.1
ZNF773,ZNF773
ZNF549,ZNF549
ZNF550,ZNF550
ZNF416,ZNF416
ZIK1,ZIK1
ZNF530,ZNF530
ZNF134,ZNF134
AC003682.1,AC003682.1
ZNF211,ZNF211
TPRG1LP1,TPRG1LP1
ZSCAN4,ZSCAN4
ZNF551,ZNF551
AC003006.1,AC003006.1
ZNF154,ZNF154
ZNF671,ZNF671
ZNF776,ZNF776
ZNF586,ZNF586
ZNF552,ZNF552
AC010522.1,AC010522.1
ZNF587B,ZNF587B
FKBP1AP1,FKBP1AP1
ZNF814,ZNF814
ZNF587,ZNF587
AC010326.3,AC010326.3
AC010326.4,AC010326.4
AC010326.2,AC010326.2
ZNF417,ZNF417
ZNF418,ZNF418
ZNF256,ZNF256
AC010326.1,AC010326.1
C19orf18,C19orf18
ZNF606,ZNF606
AC008969.1,AC008969.1
VN2R19P,VN2R19P
ZSCAN1,ZSCAN1
LETM1P2,LETM1P2
HNRNPDLP4,HNRNPDLP4
ZNF135,ZNF135
RN7SL526P,RN7SL526P
ZSCAN18,ZSCAN18
ZNF329,ZNF329
AC008751.1,AC008751.1
AC008751.2,AC008751.2
ZNF274,ZNF274
RPS15AP36,RPS15AP36
AC020915.4,AC020915.4
ZNF544,ZNF544
AC020915.5,AC020915.5
AC020915.3,AC020915.3
AC020915.2,AC020915.2
ZNF8,ZNF8
AC020915.1,AC020915.1
ERVK3-1,ERVK3-1
AC010642.2,AC010642.2
AC010642.1,AC010642.1
ZSCAN22,ZSCAN22
MIR6806,MIR6806
A1BG,A1BG
AC012313.3,AC012313.3
A1BG-AS1,A1BG-AS1
AC012313.10,AC012313.10
ZNF497,ZNF497
AC012313.2,AC012313.2
AC012313.6,AC012313.6
RNA5SP473,RNA5SP473
ZNF837,ZNF837
RPS5,RPS5
MIR4754,MIR4754
RNF225,RNF225
LINC02560,LINC02560
ZNF584,ZNF584
AC012313.1,AC012313.1
AC012313.4,AC012313.4
AC012313.5,AC012313.5
ZNF132,ZNF132
AC012313.8,AC012313.8
ZNF324B,ZNF324B
ZNF324,ZNF324
ZNF446,ZNF446
AC012313.7,AC012313.7
SLC27A5,SLC27A5
RNU6-1337P,RNU6-1337P
RN7SL693P,RN7SL693P
AC012313.9,AC012313.9
ZBTB45,ZBTB45
RN7SL525P,RN7SL525P
TRIM28,TRIM28
MIR6807,MIR6807
CHMP2A,CHMP2A
UBE2M,UBE2M
MZF1-AS1,MZF1-AS1
MZF1,MZF1
CENPBD1P1,CENPBD1P1
AC016629.3,AC016629.3
AC016629.1,AC016629.1
AC016629.2,AC016629.2
DEFB125,DEFB125
DEFB126,DEFB126
DEFB127,DEFB127
DEFB128,DEFB128
DEFB129,DEFB129
DEFB132,DEFB132
AL034548.1,AL034548.1
C20orf96,C20orf96
ZCCHC3,ZCCHC3
NRSN2-AS1,NRSN2-AS1
SOX12,SOX12
NRSN2,NRSN2
TRIB3,TRIB3
RBCK1,RBCK1
TBC1D20,TBC1D20
RF00019,RF00019
CSNK2A1,CSNK2A1
TCF15,TCF15
SRXN1,SRXN1
AL121758.1,AL121758.1
SCRT2,SCRT2
SLC52A3,SLC52A3
FAM110A,FAM110A
RPS10P5,RPS10P5
ANGPT4,ANGPT4
RSPO4,RSPO4
PSMF1,PSMF1
AL031665.2,AL031665.2
ACTG1P3,ACTG1P3
TMEM74B,TMEM74B
AL031665.1,AL031665.1
C20orf202,C20orf202
RAD21L1,RAD21L1
SNPH,SNPH
SDCBP2,SDCBP2
AL136531.2,AL136531.2
AL136531.3,AL136531.3
SDCBP2-AS1,SDCBP2-AS1
AL136531.1,AL136531.1
FKBP1A,FKBP1A
MIR6869,MIR6869
NSFL1C,NSFL1C
SIRPB2,SIRPB2
AL049634.1,AL049634.1
RNU6-917P,RNU6-917P
SIRPD,SIRPD
AL049634.2,AL049634.2
SIRPB1,SIRPB1
AL049634.3,AL049634.3
SIRPG,SIRPG
SIRPG-AS1,SIRPG-AS1
SIRPB3P,SIRPB3P
RN7SL561P,RN7SL561P
AL109809.3,AL109809.3
AL109809.2,AL109809.2
AL109809.4,AL109809.4
AL109809.1,AL109809.1
AL121760.1,AL121760.1
AL117335.1,AL117335.1
SIRPA,SIRPA
PDYN-AS1,PDYN-AS1
PDYN,PDYN
RPL7P2,RPL7P2
STK35,STK35
AL121899.1,AL121899.1
TGM3,TGM3
TGM6,TGM6
RF00019,RF00019
SNRPB,SNRPB
AL049650.1,AL049650.1
ZNF343,ZNF343
TMC2,TMC2
NOP56,NOP56
MIR1292,MIR1292
SNORD110,SNORD110
SNORA51,SNORA51
SNORD86,SNORD86
SNORD56,SNORD56
SNORD57,SNORD57
IDH3B,IDH3B
AL049712.1,AL049712.1
EBF4,EBF4
RPL19P1,RPL19P1
CPXM1,CPXM1
AL035460.1,AL035460.1
C20orf141,C20orf141
TMEM239,TMEM239
PCED1A,PCED1A
VPS16,VPS16
PTPRA,PTPRA
GNRH2,GNRH2
MRPS26,MRPS26
OXT,OXT
AVP,AVP
RN7SL555P,RN7SL555P
UBOX5-AS1,UBOX5-AS1
UBOX5,UBOX5
FASTKD5,FASTKD5
LZTS3,LZTS3
DDRGK1,DDRGK1
ITPA,ITPA
SLC4A11,SLC4A11
AL109976.1,AL109976.1
C20orf194,C20orf194
RNU6-1019P,RNU6-1019P
UBE2V1P1,UBE2V1P1
RF00012,RF00012
AL353193.1,AL353193.1
ATRN,ATRN
SF3A3P1,SF3A3P1
GFRA4,GFRA4
ADAM33,ADAM33
SIGLEC1,SIGLEC1
HSPA12B,HSPA12B
C20orf27,C20orf27
SPEF1,SPEF1
CENPB,CENPB
CDC25B,CDC25B
LINC01730,LINC01730
AL109804.1,AL109804.1
AP5S1,AP5S1
MAVS,MAVS
AL353194.1,AL353194.1
PANK2,PANK2
MIR103A2,MIR103A2
MIR103B2,MIR103B2
AL031670.1,AL031670.1
RNF24,RNF24
FTLP3,FTLP3
RPL21P2,RPL21P2
AL356414.1,AL356414.1
SMOX,SMOX
LINC01433,LINC01433
ADRA1D,ADRA1D
AL139350.1,AL139350.1
AL121781.1,AL121781.1
AL121916.1,AL121916.1
RPS4XP2,RPS4XP2
PRNP,PRNP
PRND,PRND
PRNT,PRNT
AL133396.1,AL133396.1
AL133396.2,AL133396.2
RASSF2,RASSF2
SLC23A2,SLC23A2
RF00322,RF00322
AL121890.1,AL121890.1
AL121890.3,AL121890.3
AL121890.2,AL121890.2
AL121890.5,AL121890.5
AL121890.4,AL121890.4
TMEM230,TMEM230
RNA5SP474,RNA5SP474
RF00019,RF00019
PCNA,PCNA
RF00568,RF00568
CDS2,CDS2
UBE2D3P1,UBE2D3P1
PROKR2,PROKR2
RNA5-8SP7,RNA5-8SP7
AL121757.2,AL121757.2
LINC00658,LINC00658
AL121757.1,AL121757.1
LINC00654,LINC00654
AL109935.2,AL109935.2
LINC01729,LINC01729
RPS18P1,RPS18P1
AL109935.1,AL109935.1
GPCPD1,GPCPD1
EIF4EP1,EIF4EP1
SHLD1,SHLD1
RNU1-55P,RNU1-55P
CHGB,CHGB
KANK1P1,KANK1P1
TRMT6,TRMT6
MCM8,MCM8
RF00019,RF00019
AL035461.1,AL035461.1
MCM8-AS1,MCM8-AS1
AL035461.2,AL035461.2
RN7SL498P,RN7SL498P
CRLS1,CRLS1
LRRN4,LRRN4
AL118505.1,AL118505.1
FERMT1,FERMT1
TARDBPP1,TARDBPP1
AL109618.1,AL109618.1
AL109618.2,AL109618.2
AL109618.3,AL109618.3
CASC20,CASC20
LINC01713,LINC01713
BMP2,BMP2
AL096799.1,AL096799.1
LINC01428,LINC01428
AL080248.1,AL080248.1
LINC01751,LINC01751
LINC01706,LINC01706
MIR8062,MIR8062
RN7SL547P,RN7SL547P
AL031679.1,AL031679.1
AL021879.1,AL021879.1
HAO1,HAO1
TMX4,TMX4
AL021396.1,AL021396.1
PLCB1,PLCB1
PHKBP1,PHKBP1
PLCB1-IT1,PLCB1-IT1
RNU105B,RNU105B
AL445567.1,AL445567.1
AL445567.2,AL445567.2
RF00017,RF00017
PLCB4,PLCB4
LAMP5-AS1,LAMP5-AS1
LAMP5,LAMP5
PAK5,PAK5
AL353612.1,AL353612.1
PARAL1,PARAL1
ANKEF1,ANKEF1
SNAP25-AS1,SNAP25-AS1
RF00017,RF00017
AL354824.1,AL354824.1
AL354824.2,AL354824.2
SNAP25,SNAP25
HIGD1AP15,HIGD1AP15
RPL23AP6,RPL23AP6
SDAD1P2,SDAD1P2
MKKS,MKKS
AL034430.1,AL034430.1
AL034430.2,AL034430.2
SLX4IP,SLX4IP
AL035456.1,AL035456.1
JAG1,JAG1
MIR6870,MIR6870
AL050403.2,AL050403.2
LINC01752,LINC01752
AL135937.1,AL135937.1
AL050403.1,AL050403.1
FAT1P1,FAT1P1
AL158042.1,AL158042.1
C20orf187,C20orf187
AL049649.1,AL049649.1
RPS11P1,RPS11P1
AL109837.2,AL109837.2
AL109837.1,AL109837.1
PGAM3P,PGAM3P
AL161938.1,AL161938.1
LINC00687,LINC00687
RN7SKP111,RN7SKP111
AL080274.1,AL080274.1
BTBD3,BTBD3
AL035448.1,AL035448.1
AL109838.1,AL109838.1
AL136460.1,AL136460.1
PA2G4P2,PA2G4P2
LINC01722,LINC01722
AL078623.1,AL078623.1
LINC01723,LINC01723
SPTLC3,SPTLC3
AL109983.1,AL109983.1
ISM1,ISM1
ISM1-AS1,ISM1-AS1
AL050320.1,AL050320.1
AL121782.1,AL121782.1
TASP1,TASP1
GAPDHP2,GAPDHP2
ESF1,ESF1
NDUFAF5,NDUFAF5
SEL1L2,SEL1L2
RNU6-278P,RNU6-278P
MACROD2,MACROD2
RPS3P1,RPS3P1
AIMP1P1,AIMP1P1
RN7SL864P,RN7SL864P
FLRT3,FLRT3
RNU6-228P,RNU6-228P
RNF11P2,RNF11P2
MACROD2-IT1,MACROD2-IT1
RPS10P2,RPS10P2
MACROD2-AS1,MACROD2-AS1
AL138808.1,AL138808.1
RNU6-1159P,RNU6-1159P
RNU6-115P,RNU6-115P
RNA5SP475,RNA5SP475
AL121584.1,AL121584.1
ENSAP1,ENSAP1
PPIAP17,PPIAP17
KIF16B,KIF16B
AL049794.1,AL049794.1
AL049794.2,AL049794.2
RPLP0P1,RPLP0P1
RF00019,RF00019
AL135938.1,AL135938.1
AL034428.1,AL034428.1
SNRPB2,SNRPB2
OTOR,OTOR
AL121892.1,AL121892.1
RF00012,RF00012
RNU6-27P,RNU6-27P
AL359511.1,AL359511.1
RNU1-131P,RNU1-131P
PCSK2,PCSK2
DYNLT3P1,DYNLT3P1
BFSP1,BFSP1
RPS27AP2,RPS27AP2
AL132765.2,AL132765.2
DSTN,DSTN
RN7SKP69,RN7SKP69
AL132765.1,AL132765.1
RRBP1,RRBP1
BANF2,BANF2
AL035045.1,AL035045.1
RNU6-192P,RNU6-192P
SNX5,SNX5
OVOL2,OVOL2
SNORD17,SNORD17
MGME1,MGME1
PTMAP3,PTMAP3
AL160411.1,AL160411.1
RPL15P1,RPL15P1
RNU7-137P,RNU7-137P
RF00019,RF00019
PET117,PET117
KAT14,KAT14
AL050321.1,AL050321.1
RN7SL14P,RN7SL14P
RNU2-56P,RNU2-56P
ZNF133,ZNF133
RN7SKP74,RN7SKP74
AL049646.2,AL049646.2
AL049646.1,AL049646.1
LINC00851,LINC00851
DZANK1,DZANK1
GCNT1P1,GCNT1P1
RNA5SP476,RNA5SP476
POLR3F,POLR3F
MIR3192,MIR3192
RPL21P3,RPL21P3
RBBP9,RBBP9
RPS19P1,RPS19P1
SEC23B,SEC23B
SMIM26,SMIM26
AL121900.2,AL121900.2
DTD1,DTD1
RN7SL638P,RN7SL638P
RNU6ATAC34P,RNU6ATAC34P
DUXAP7,DUXAP7
AL121900.1,AL121900.1
EEF1A1P34,EEF1A1P34
LINC00652,LINC00652
AL035563.1,AL035563.1
C20orf78,C20orf78
SCP2D1,SCP2D1
AL135936.1,AL135936.1
SLC24A3,SLC24A3
AL136090.1,AL136090.1
AL049647.1,AL049647.1
AL121830.1,AL121830.1
AL121761.1,AL121761.1
RIN2,RIN2
RPL12P12,RPL12P12
NAA20,NAA20
CRNKL1,CRNKL1
CFAP61,CFAP61
AL035454.1,AL035454.1
AL049648.1,AL049648.1
RPL17P1,RPL17P1
AL121721.1,AL121721.1
RN7SL690P,RN7SL690P
AL161658.1,AL161658.1
INSM1,INSM1
RALGAPA2,RALGAPA2
EIF4E2P1,EIF4E2P1
LLPHP1,LLPHP1
RN7SL607P,RN7SL607P
MRPS11P1,MRPS11P1
AL133465.1,AL133465.1
LINC00237,LINC00237
AL121759.2,AL121759.2
RPL24P2,RPL24P2
KIZ,KIZ
RNA5SP477,RNA5SP477
AL121759.1,AL121759.1
KIZ-AS1,KIZ-AS1
RPS15AP1,RPS15AP1
ZNF877P,ZNF877P
AL117332.1,AL117332.1
XRN2,XRN2
NKX2-4,NKX2-4
AL158013.1,AL158013.1
RN7SKP140,RN7SKP140
AL133325.1,AL133325.1
AL133325.3,AL133325.3
GSTM3P1,GSTM3P1
NKX2-2,NKX2-2
NKX2-2-AS1,NKX2-2-AS1
AL133325.2,AL133325.2
LINC01727,LINC01727
LINC01726,LINC01726
AL121590.1,AL121590.1
PAX1,PAX1
SLC25A6P1,SLC25A6P1
RPL41P1,RPL41P1
AL109807.1,AL109807.1
LINC01432,LINC01432
AL035258.1,AL035258.1
LINC01427,LINC01427
AL049737.1,AL049737.1
AL121912.1,AL121912.1
AL133464.1,AL133464.1
LINC00261,LINC00261
AL121722.1,AL121722.1
FOXA2,FOXA2
LNCNEF,LNCNEF
LINC01747,LINC01747
AL158175.1,AL158175.1
KRT18P3,KRT18P3
CYB5AP4,CYB5AP4
AL353132.1,AL353132.1
AL049651.1,AL049651.1
AL049651.2,AL049651.2
SSTR4,SSTR4
THBD,THBD
AL118508.4,AL118508.4
CD93,CD93
LINC00656,LINC00656
AL118508.3,AL118508.3
RNA5SP478,RNA5SP478
AL118508.2,AL118508.2
AL118508.1,AL118508.1
AL390037.1,AL390037.1
AL096677.1,AL096677.1
NXT1,NXT1
LINC01431,LINC01431
GZF1,GZF1
NAPB,NAPB
RNA5SP479,RNA5SP479
CSTL1,CSTL1
CST11,CST11
RF00019,RF00019
AL109954.2,AL109954.2
CST12P,CST12P
AL109954.1,AL109954.1
AL109954.3,AL109954.3
CST8,CST8
CST13P,CST13P
CST9LP1,CST9LP1
CST9L,CST9L
CST9LP2,CST9LP2
CST9,CST9
CST3,CST3
AL121894.2,AL121894.2
AL121894.1,AL121894.1
CST4,CST4
CST2P1,CST2P1
CST1,CST1
CSTP2,CSTP2
AL591074.1,AL591074.1
CST2,CST2
CST5,CST5
CSTP1,CSTP1
AL133466.1,AL133466.1
GGTLC1,GGTLC1
POM121L3P,POM121L3P
AL110503.1,AL110503.1
LINC01721,LINC01721
RNU1-23P,RNU1-23P
AL158090.1,AL158090.1
GAPDHP53,GAPDHP53
SYNDIG1,SYNDIG1
AL157413.1,AL157413.1
AL049594.1,AL049594.1
AL035661.1,AL035661.1
CST7,CST7
APMAP,APMAP
RNU6-1257P,RNU6-1257P
ACSS1,ACSS1
AL080312.2,AL080312.2
VSX1,VSX1
AL080312.1,AL080312.1
AL035252.2,AL035252.2
AL035252.1,AL035252.1
ENTPD6,ENTPD6
RF00019,RF00019
AL035252.4,AL035252.4
AL035252.3,AL035252.3
AL121772.1,AL121772.1
PYGB,PYGB
AL121772.2,AL121772.2
AL121772.3,AL121772.3
ABHD12,ABHD12
PPIAP2,PPIAP2
GINS1,GINS1
NINL,NINL
RNU6ATAC17P,RNU6ATAC17P
NANP,NANP
ZNF337-AS1,ZNF337-AS1
RN7SL594P,RN7SL594P
MED28P7,MED28P7
ZNF337,ZNF337
AL031673.1,AL031673.1
AL390198.1,AL390198.1
VN1R108P,VN1R108P
FAM182B,FAM182B
BSNDP1,BSNDP1
AL390198.2,AL390198.2
BSNDP2,BSNDP2
CFTRP1,CFTRP1
LINC01733,LINC01733
AL078587.1,AL078587.1
AL450124.1,AL450124.1
FAM182A,FAM182A
BSNDP3,BSNDP3
NCOR1P1,NCOR1P1
AL391119.1,AL391119.1
MIR663AHG,MIR663AHG
AL121904.1,AL121904.1
MIR663A,MIR663A
FRG1CP,FRG1CP
FRG1DP,FRG1DP
RF00002,RF00002
DUX4L32,DUX4L32
PCMTD1P7,PCMTD1P7
DUX4L33,DUX4L33
DUX4L34,DUX4L34
FRG2EP,FRG2EP
RARRES2P11,RARRES2P11
AGGF1P10,AGGF1P10
DUX4L35,DUX4L35
FRG1EP,FRG1EP
RF00019,RF00019
CFTRP2,CFTRP2
RF00002,RF00002
CDC27P3,CDC27P3
RNA5SP532,RNA5SP532
DUX4L37,DUX4L37
CFTRP3,CFTRP3
LINC01597,LINC01597
RF00019,RF00019
FAM242A,FAM242A
FRG1BP,FRG1BP
MLLT10P1,MLLT10P1
RF00002,RF00002
AC018688.1,AC018688.1
ANKRD20A21P,ANKRD20A21P
RF00026,RF00026
RNA5SP528,RNA5SP528
DEFB115,DEFB115
DKKL1P1,DKKL1P1
AL121723.1,AL121723.1
DEFB116,DEFB116
RPL31P3,RPL31P3
HAUS6P2,HAUS6P2
RNA5SP480,RNA5SP480
DEFB117,DEFB117
DEFB118,DEFB118
RF00561,RF00561
DEFB119,DEFB119
DEFB121,DEFB121
DEFB122,DEFB122
DEFB123,DEFB123
DEFB124,DEFB124
REM1,REM1
LINC00028,LINC00028
HM13,HM13
AL110115.1,AL110115.1
MCTS2P,MCTS2P
HM13-IT1,HM13-IT1
HM13-AS1,HM13-AS1
AL110115.2,AL110115.2
RNU6-384P,RNU6-384P
ID1,ID1
MIR3193,MIR3193
COX4I2,COX4I2
BCL2L1,BCL2L1
AL117381.1,AL117381.1
ABALON,ABALON
TPX2,TPX2
AL160175.1,AL160175.1
MYLK2,MYLK2
FOXS1,FOXS1
DUSP15,DUSP15
TTLL9,TTLL9
RNU1-94P,RNU1-94P
PDRG1,PDRG1
XKR7,XKR7
AL031658.2,AL031658.2
RNA5SP481,RNA5SP481
CCM2L,CCM2L
AL031658.1,AL031658.1
RNA5SP482,RNA5SP482
HCK,HCK
TM9SF4,TM9SF4
AL049539.1,AL049539.1
RSL24D1P6,RSL24D1P6
TSPY26P,TSPY26P
PLAGL2,PLAGL2
POFUT1,POFUT1
MIR1825,MIR1825
KIF3B,KIF3B
AL121583.1,AL121583.1
ASXL1,ASXL1
NOL4L,NOL4L
AL034550.1,AL034550.1
AL034550.2,AL034550.2
AL133343.2,AL133343.2
NOL4L-DT,NOL4L-DT
AL133343.1,AL133343.1
C20orf203,C20orf203
FO393400.1,FO393400.1
BAK1P1,BAK1P1
COMMD7,COMMD7
DNMT3B,DNMT3B
MAPRE1,MAPRE1
AL035071.2,AL035071.2
AL035071.1,AL035071.1
EFCAB8,EFCAB8
SUN5,SUN5
BPIFB2,BPIFB2
BPIFB6,BPIFB6
PUDPP3,PUDPP3
BPIFB3,BPIFB3
BPIFB4,BPIFB4
BPIFA2,BPIFA2
SOCS2P1,SOCS2P1
BPIFA4P,BPIFA4P
AL121901.1,AL121901.1
BPIFA3,BPIFA3
BPIFA1,BPIFA1
RPL12P3,RPL12P3
BPIFB1,BPIFB1
BPIFB5P,BPIFB5P
BPIFB9P,BPIFB9P
CDK5RAP1,CDK5RAP1
SNTA1,SNTA1
CBFA2T2,CBFA2T2
AL121906.2,AL121906.2
NECAB3,NECAB3
C20orf144,C20orf144
ACTL10,ACTL10
AL121906.1,AL121906.1
E2F1,E2F1
PXMP4,PXMP4
AL050349.1,AL050349.1
ZNF341,ZNF341
RPL31P2,RPL31P2
ZNF341-AS1,ZNF341-AS1
CHMP4B,CHMP4B
TPM3P2,TPM3P2
PIGPP3,PIGPP3
RALY-AS1,RALY-AS1
RALY,RALY
AL031668.1,AL031668.1
MIR4755,MIR4755
EIF2S2,EIF2S2
RPS2P1,RPS2P1
ASIP,ASIP
XPOTP1,XPOTP1
AL035458.2,AL035458.2
AL035458.1,AL035458.1
AHCY,AHCY
AL356299.2,AL356299.2
AL356299.1,AL356299.1
ITCH,ITCH
RF00019,RF00019
CDC42P1,CDC42P1
ITCH-AS1,ITCH-AS1
ITCH-IT1,ITCH-IT1
MIR644A,MIR644A
FDX1P1,FDX1P1
AL109923.1,AL109923.1
DYNLRB1,DYNLRB1
RF00019,RF00019
MAP1LC3A,MAP1LC3A
PIGU,PIGU
AL118520.1,AL118520.1
NCOA6,NCOA6
TP53INP2,TP53INP2
HMGB3P1,HMGB3P1
GGT7,GGT7
ACSS2,ACSS2
GSS,GSS
MYH7B,MYH7B
MIR499A,MIR499A
MIR499B,MIR499B
TRPC4AP,TRPC4AP
RNU6-407P,RNU6-407P
EDEM2,EDEM2
RF00275,RF00275
PROCR,PROCR
AL356652.1,AL356652.1
RNA5SP483,RNA5SP483
MMP24OS,MMP24OS
MT1P3,MT1P3
MMP24,MMP24
AL121753.2,AL121753.2
AL121753.1,AL121753.1
EIF6,EIF6
FAM83C-AS1,FAM83C-AS1
FAM83C,FAM83C
UQCC1,UQCC1
GDF5OS,GDF5OS
GDF5,GDF5
MIR1289-1,MIR1289-1
CEP250,CEP250
FO393401.1,FO393401.1
FO393401.2,FO393401.2
C20orf173,C20orf173
ERGIC3,ERGIC3
RPL36P4,RPL36P4
FER1L4,FER1L4
RPL37P1,RPL37P1
SPAG4,SPAG4
CPNE1,CPNE1
AL109827.1,AL109827.1
RN7SKP271,RN7SKP271
RNU6-759P,RNU6-759P
RBM12,RBM12
NFS1,NFS1
ROMO1,ROMO1
RBM39,RBM39
RPF2P1,RPF2P1
RF00026,RF00026
PHF20,PHF20
COX7BP2,COX7BP2
RF00019,RF00019
HIGD1AP16,HIGD1AP16
RNU4-40P,RNU4-40P
RNU6-937P,RNU6-937P
SCAND1,SCAND1
CNBD2,CNBD2
NORAD,NORAD
AL035420.3,AL035420.3
AL035420.1,AL035420.1
HMGB3P2,HMGB3P2
AL035420.2,AL035420.2
EPB41L1,EPB41L1
AL121895.1,AL121895.1
AL121895.2,AL121895.2
AAR2,AAR2
DLGAP4,DLGAP4
DLGAP4-AS1,DLGAP4-AS1
MYL9,MYL9
RF00017,RF00017
TGIF2,TGIF2
TGIF2-RAB5IF,TGIF2-RAB5IF
RAB5IF,RAB5IF
SLA2,SLA2
HNRNPA3P2,HNRNPA3P2
NDRG3,NDRG3
RF00019,RF00019
DSN1,DSN1
SOGA1,SOGA1
RN7SL156P,RN7SL156P
TLDC2,TLDC2
SAMHD1,SAMHD1
RBL1,RBL1
RPS3AP3,RPS3AP3
RPS27AP3,RPS27AP3
AL136172.1,AL136172.1
MROH8,MROH8
AL031659.1,AL031659.1
RPN2,RPN2
GHRH,GHRH
MANBAL,MANBAL
SRC,SRC
RPL7AP14,RPL7AP14
BLCAP,BLCAP
NNAT,NNAT
AL109614.1,AL109614.1
PPIAP3,PPIAP3
LINC01746,LINC01746
GLRXP1,GLRXP1
LINC00489,LINC00489
AL162293.1,AL162293.1
CTNNBL1,CTNNBL1
VSTM2L,VSTM2L
RN7SKP185,RN7SKP185
TTI1,TTI1
RPRD1B,RPRD1B
RN7SL237P,RN7SL237P
AL031651.1,AL031651.1
TGM2,TGM2
KIAA1755,KIAA1755
AL031651.2,AL031651.2
AL359555.3,AL359555.3
AL359555.4,AL359555.4
AL359555.2,AL359555.2
AL359555.1,AL359555.1
BPI,BPI
LBP,LBP
AL391095.2,AL391095.2
AL391095.1,AL391095.1
AL391095.3,AL391095.3
SNHG17,SNHG17
RF00056,RF00056
SNORA71B,SNORA71B
